File Name,Total Time,Tempo,Song Key,Instruments,Note Count
01.Metallica-Ain't My Bitch.mid,313.52855900000003,151,7,"34, 115, 30",6983
01.Metallica-Enter Sandman.mid,331.9479,123,Unknown,"34, 27, 29, 30",5556
01.Metallica-Fight Fire With Fire.mid,281.3142423333333,82,Unknown,"33, 52, 25, 29, 30",9284
01.Metallica-Free Speech For The Dumb.mid,151.27357474999997,206,7,"34, 67, 29, 30",2765
01.Metallica-Fuel.mid,266.09387673333333,211,0,"34, 53, 29, 30",7445
01.Metallica-Helpless.mid,355.2338781,154,9,"34, 67, 29, 30",11185
01.Metallica-Hit The Lights.mid,204.87498,144,Unknown,"33, 52, 29, 30",5647
02.Metallica-2x4.mid,335.892678,112,7,"0, 34, 80, 81, 29, 30",5808
02.Metallica-It's Electric.mid,208.68111000000002,182,9,"66, 67, 34, 29, 30",5117
02.Metallica-Ride The Lightning.mid,390.78863999999993,152,7,"33, 52, 30",11338
02.Metallica-Sad But True.mid,318.152154375,91,Unknown,0,6258
02.Metallica-The Four Horsemen.mid,434.233027,204,7,"33, 42, 27, 29, 30",12111
02.Metallica-The Memory Remains.mid,270.2914484666666,145,0,"34, 29, 30, 31",4925
02.Metallica-The Small hours.mid,390.90680645833356,89,7,"34, 67, 27, 29, 30",7918
03.Metallica-Devils Dance.mid,288.11861500000003,101,Unknown,"27, 36, 30",4806
03.Metallica-For Whom The Bell Tolls.mid,294.0,120,7,"33, 34, 14, 81, 27, 29, 30",4768
03.Metallica-Holier Than Thou.mid,234.39773099999996,165,7,"34, 81, 27, 29, 30",6570
03.Metallica-Motorbreath.mid,177.2776005,180,2,"33, 52, 29, 30",6059
03.Metallica-Sabbra Cadabra.mid,375.3724004499998,145,4,"34, 67, 29, 30",4569
03.Metallica-The House That Jack Built.mid,364.8,99,10,"33, 52, 109, 30",6416
03.Metallica-The Wait.mid,288.88860000000005,162,7,"34, 67, 29, 30",8162
04.Metallica-Anesthesia (Pulling Teeth).mid,138.6348935,152,0,24,724
04.Metallica-Crash cause In Brain Surgery.mid,171.717,99,Unknown,"0, 34, 112, 117, 126, 29, 30, 127",3984
04.Metallica-Fade To Black.mid,305.0554555,116,0,"0, 2, 3",2882
04.Metallica-The Unforgiven II.mid,391.8401593416668,65,0,"34, 48, 119, 25, 26, 29",7263
04.Metallica-The Unforgiven.mid,368.69555999999994,69,0,"34, 44, 81, 25, 27, 29, 30",5424
04.Metallica-Turn The Page.mid,347.0,80,Unknown,"64, 33, 27, 29, 30",4102
04.Metallica-Until It Sleeps.mid,250.125,120,Unknown,"25, 52, 30, 33",4267
05.Metallica -Whiplash.mid,243.598198,168,7,"33, 29, 30, 87",6800
05.Metallica-Better Than You.mid,295.0740803833333,160,7,"34, 67, 57, 29, 30",8460
05.Metallica-Die Die Mydarling.mid,141.333192,180,Unknown,"64, 33, 66, 27, 29, 30, 31",2978
05.Metallica-King Nothing.mid,88.0,120,7,"28, 53, 30",923
"05.Metallica-Last Care,Green Hell.mid",139.20000000000002,200,0,"34, 29",3066
05.Metallica-Trapped Under Ice.mid,237.41777302083332,151,Unknown,"56, 33, 75, 30",11181
05.Metallica-Where Ever I May Roam.mid,401.25,128,7,"34, 104, 43, 27, 29, 30",6778
06.Metallica-Am I Evil.mid,460.6,100,7,"81, 29, 30, 33",11791
06.Metallica-Don't Tread On Me.mid,245.70488249999997,156,7,"33, 52, 30",5872
06.Metallica-Escape.mid,273.333552,143,0,"33, 81, 27, 29, 30",6388
06.Metallica-Hero Of The Day.mid,264.374859,112,9,"33, 24, 25, 27, 29, 30",5965
06.Metallica-Loverman.mid,449.78142893333313,67,2,"66, 67, 34, 27, 29, 30",6575
06.Metallica-Phantom Lord.mid,296.71193058333336,108,7,"33, 52, 120, 27, 29, 30",8571
06.Metallica-Slither.mid,306.6804665833334,100,7,"34, 67, 57, 29, 30",7036
07.Metallica-Bleeding Me.mid,66.20684800000001,116,7,27,292
07.Metallica-Blitzkrieg.mid,210.655,187,0,"0, 34, 28, 29, 30",3535
07.Metallica-Carpe Diem Baby.mid,345.000138,75,7,"65, 33, 48, 50, 25, 29",6749
07.Metallica-Creeping Death.mid,428.174552,183,7,"13, 86, 30, 24, 29, 62",11683
07.Metallica-No Remorse.mid,347.0166136666667,188,9,"120, 33, 52, 30",10444
07.Metallica-Through The Never.mid,243.191538,187,9,"34, 81, 27, 29, 30",5768
08.Metallica-Astronomy.mid,388.63626,88,7,"97, 66, 67, 34, 27, 29, 30",9620
08.Metallica-Bad Seed.mid,233.49471599999995,129,7,"34, 67, 57, 29, 30",5050
08.Metallica-Breadfan.mid,324.7188213333334,203,7,"33, 53, 25, 29, 30",7239
08.Metallica-Cure.mid,59.5,120,Unknown,"33, 67, 56, 29, 30",1062
08.Metallica-Nothing Else Matters.mid,393.2535248749999,69,7,"34, 88, 25, 26, 27, 29, 30",3637
08.Metallica-Seek&Destroy.mid,413.1423920000001,140,7,"33, 27, 29, 87",9545
08.Metallica-The Call Of Ktulu.mid,510.49951200000004,140,5,"33, 25, 27, 29, 30",9469
09.Metallica-Metal Militia.mid,319.64209,168,7,"33, 27, 30, 87",9224
09.Metallica-Of Wolf And Man.mid,267.6722175,116,7,"34, 81, 27, 29, 30",5031
09.Metallica-Poor Twisted Me.mid,242.00833333333333,120,0,"34, 35, 29, 30",4327
